ID Number,pH,Total Alkalinity,Total Hardness,Free Chlorine,Total Chlorine,Nitrite,Nitrate,Total Iron,Source of Household Water,Showerhead Installation Time Frame,Frequency of Household Shower Usage,Frequency of Showerhead Cleaning,Showerhead Cleaning Solution,Showerhead Material,Interior Showerhead Finish,Showerhead System Setup,Does the Showerhead Have a Filter?,Showerhead Spray Pattern Description,How is Water Heated,Age of Hot Water Heater,Hot Water Heater Flush Frequency
NTM00182,6.8,120,120,0,0.5,0,0,0,Municipal Water System,Do Not Know,10-13 times/week,Never,NA,Combination of Plastic/Metal,Chrome,Fixed/Permanent,Yes,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,Do Not Know,Do Not Know
NTM00445,6.2,60,250,0,0,0,0,0.07,Municipal Water System,Do Not Know,10-13 times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,Yes,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,6-10 Years,Do Not Know
NTM00320,6.8,160,250,0,0.5,0.1,1.5,0.6,Municipal Water System,More than 6 Months Ago,10-13 times/week,Never,NA,Combination of Plastic/Metal,Nickel,Fixed/Permanent,No,Fine Misting of Water (Low Flow),Electric Tankless Water Heater,>10 Years,Yearly
NTM00032,7.2,80,120,0,0,0.15,1,0.15,Well-Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Metal,Chrome,Fixed Showerhead w/ Additional Handheld Unit,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,<1 Year,Every Few Years
NTM00075,7,180,120,0,3,0,1,0.2,Municipal Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Plastic,No Finish,Fixed/Permanent,Do Not know,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,Do Not Know,Do Not Know
NTM00424,6.2,80,250,0.25,0.5,0,0,0.1,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Combination of Plastic/Metal,Brass,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,6-10 Years,Never
NTM00386,6.2,120,120,0,0.5,0,1,0.1,Municipal Water System,More than 6 Months Ago,10-13 times/week,Never,NA,Combination of Plastic/Metal,Bronze,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,1-5 Years,Never
NTM00492,6.5,90,120,0,0,0,0.5,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,Do Not Know,Do Not Know
NTM00459,6.2,150,250,0,0,0,2,0.3,Well-Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,No,Fine Misting of Water (Low Flow),Hot Water Heater,1-5 Years,Never
NTM00124,7.8,180,25,0,0.5,0,2,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Chrome,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,>10 Years,Never
NTM00138,6.6,100,120,0,0.25,0,1,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Solid Brass,Brass,Fixed/Permanent,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,1-5 Years,Never
NTM00466,6.2,120,50,0,0.5,0,1,0.15,Municipal Water System,Do Not Know,10-13 times/week,Never,NA,Metal,Chrome,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,1-5 Years,Do Not Know
NTM00126,6.7,80,120,0,0,0,1.5,0.3,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Do Not know,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,>10 Years,Never
NTM00180,6.8,100,200,0,1,0.3,2,0.15,Municipal Water System,More than 6 Months Ago,10-13 times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,Yes,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,Do Not Know,Do Not Know
NTM00333,8.4,240,250,0,0.5,1,1,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Chrome,Fixed/Permanent,Yes,Drenching Forced Spray Ideal For Rinsing Shampoo,Electric Tankless Water Heater,6-10 Years,Never
NTM00119,6.8,240,50,0,0.25,0,1,0.15,Municipal Water System,Do Not Know,1-4 times/week,Never,NA,Plastic,No Finish,Fixed/Permanent,No,Fine Misting of Water (Low Flow),Electric Tankless Water Heater,1-5 Years,Do Not Know
NTM00242,6.2,80,120,0,1,0,1,0.15,Municipal Water System,More than 6 Months Ago,10-13 times/week,Once a Year,Bleach and Water,Combination of Plastic/Metal,Do Not Know,Fixed Showerhead w/ Additional Handheld Unit,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,>10 Years,Never
NTM00027,6.2,30,50,0,0.5,0,0.5,0.1,Municipal Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Combination of Plastic/Metal,No Finish,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,>10 Years,Do Not Know
NTM00273,6.8,120,425,1,2,0,0,0.1,Municipal Water System,Within the Last 6 Months,1-4 times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,Yes,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,Do Not Know,Do Not Know
NTM00110,6.2,180,120,0,0,0,0,0,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,Do Not know,Multiple Interchangeable Spray Patterns,Hot Water Heater,6-10 Years,Do Not Know
NTM00175,6.8,120,250,0,0,1,0,0.15,Well-Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Metal,Chrome,Fixed/Permanent,Yes,Multiple Interchangeable Spray Patterns,Hot Water Heater,1-5 Years,Never
NTM00190,7.2,180,250,0,0,0,2,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Metal,Chrome,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,<1 Year,Yearly
NTM00354,8,200,120,0,1,0,2,0,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Metal,Chrome,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,6-10 Years,Never
NTM00060,6.5,100,120,0,2,0,1,0.1,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Metal,Nickel,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,Do Not Know,Never
NTM00355,6.2,40,50,0,0.7,0,1,0.1,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,Dawn/Vinegar,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,No,Multiple Interchangeable Spray Patterns,Gas Tankless Water Heater,<1 Year,Never
NTM00401,6.8,120,250,0,0,0,1,0.15,Municipal Water System,More than 6 Months Ago,1-4 times/week,Once a Year,Bleach and Water,Metal,Do Not Know,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,>10 Years,Never
NTM00101,6.8,140,250,0,0,0,0,0,Quarry Lake,More than 6 Months Ago,5-9 times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,>10 Years,Never
NTM00373,6.8,180,120,0,0,0,0,0.15,Well-Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Do Not know,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,>10 Years,Never
NTM00065,6.2,40,50,0,0.5,0,1,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,,,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,>10 Years,Never
NTM00045,6.2,100,120,0,1,0,0,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,1-5 Years,Do Not Know
NTM00480,6.2,60,120,0,0.5,0,0.5,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,>10 Years,Never
NTM00048,6.8,180,120,0.3,0.5,1,0,0.15,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,1-5 Years,Do Not Know
NTM00130,6.8,60,100,0,0.5,0,1,0,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,>10 Years,Never
NTM00147,6.2,150,120,0,0,0,1,0.1,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Yes,Multiple Interchangeable Spray Patterns,Hot Water Heater,6-10 Years,Never
NTM00252,6.8,180,50,0,0,0,0,0,Well-Water System,More than 6 Months Ago,14+ times/week,Never,NA,Metal,Chrome,Fixed/Permanent,Do Not know,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,6-10 Years,Never
NTM00463,6.2,150,120,0,1,0.5,0,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Once a Year,Commercial Cleaning Solution,Combination of Plastic/Metal,Chrome,Fixed/Permanent,Do Not know,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,6-10 Years,Do Not Know
NTM00371,6.8,140,200,0.2,0.5,0.05,1,0.13,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Metal,Chrome,Fixed/Permanent,Do Not know,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,>10 Years,Never
NTM00470,6.2,40,120,0,0.5,0,2,0.3,Municipal Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,>10 Years,Never
NTM00225,6.2,80,120,0,10,0,1,0.15,Municipal Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Combination of Plastic/Metal,Chrome,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,Do Not Know,Do Not Know
NTM00090,7,180,250,0,0.4,0,1,0.1,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,Do Not know,Drenching Forced Spray Ideal For Rinsing Shampoo,Do Not Know,Do Not Know,Do Not Know
NTM00345,6.8,180,120,0,0,0,0,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Chrome,Fixed/Permanent,Do Not know,Drenching Forced Spray Ideal For Rinsing Shampoo,Electric Tankless Water Heater,Do Not Know,Do Not Know
NTM00169,6.4,80,200,0,0,0,0,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Yes,Multiple Interchangeable Spray Patterns,Hot Water Heater,Do Not Know,Do Not Know
NTM00343,6.2,80,120,0,0.5,0.15,1,0,Municipal Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Combination of Plastic/Metal,Chrome,Fixed/Permanent,Do Not know,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,1-5 Years,Every Few Years
NTM00374,6.2,80,250,0,0.25,0,0,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Once a Week,Commercial Cleaning Solution,Combination of Plastic/Metal,Do Not Know,Fixed Showerhead w/ Additional Handheld Unit,Do Not know,Multiple Interchangeable Spray Patterns,Hot Water Heater,>10 Years,Never
NTM00064,7,150,120,0,0,0,2,0.15,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Combination of Plastic/Metal,No Finish,Fixed/Permanent,Do Not know,Multiple Interchangeable Spray Patterns,Hot Water Heater,>10 Years,Never
NTM00324,6.2,40,120,0,2,1,0,0.15,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Combination of Plastic/Metal,Brass,Fixed/Permanent,Yes,Wide Coverage That Feels Like Drenching Rain,Electric Tankless Water Heater,1-5 Years,Do Not Know
NTM00023,6.2,80,120,0,0.5,0,1,0.07,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Chrome,Fixed/Permanent,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,1-5 Years,Every Few Years
NTM00500,6.2,40,120,0,0.5,0,0,0.15,Municipal Water System,More than 6 Months Ago,10-13 times/week,Never,NA,Combination of Plastic/Metal,Nickel,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,>10 Years,Never
NTM00052,6.2,80,120,0,0.5,1,0,0.7,Municipal Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Do Not know,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,6-10 Years,Never
NTM00310,6.2,60,120,0,0,1,0,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Plastic,Do Not Know,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,>10 Years,Never
NTM00265,6.8,80,250,0,0,0.3,5,0.15,Municipal Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Combination of Plastic/Metal,No Finish,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,>10 Years,Yearly
NTM00028,6.2,80,120,0,0.75,0,1,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Chrome,Fixed/Permanent,Do Not know,Multiple Interchangeable Spray Patterns,Hot Water Heater,1-5 Years,Every Few Years
NTM00346,6.2,50,120,4,1,0,1,0.15,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Plastic,No Finish,Fixed Showerhead w/ Additional Handheld Unit,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,<1 Year,Never
NTM00404,6.2,180,120,0,0.5,0,0,0.15,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,Do Not Know,Do Not Know
NTM00462,6.2,160,120,0,1.5,0,0.5,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Chrome,Fixed/Permanent,Do Not know,Fine Misting of Water (Low Flow),Hot Water Heater,6-10 Years,Never
NTM00415,6.2,40,120,0,0,0,0,0.15,Unknown/Other,Do Not Know,10-13 times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,Do Not know,Multiple Interchangeable Spray Patterns,Hot Water Heater,Do Not Know,Never
NTM00136,6.8,180,50,0,0,0,2,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Nickel,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,6-10 Years,Yearly
NTM00030,6.2,80,120,0.5,0.5,0,0,0.1,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Metal,Chrome,Fixed/Permanent,Yes,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,>10 Years,Never
NTM00353,6.2,80,120,0,0.5,0.3,10,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Do Not know,Multiple Interchangeable Spray Patterns,Hot Water Heater,1-5 Years,Never
NTM00167,6.4,140,250,0,0.25,0,1,0.15,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,Do Not know,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,Do Not Know,Do Not Know
NTM00163,8.4,180,250,0,0.2,0,1,0.1,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Chrome,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,1-5 Years,Yearly
NTM00408,6.8,80,120,0,0,0,2,0.15,Municipal Water System,More than 6 Months Ago,10-13 times/week,Once a Year,Vinegar,Metal,Brass,Fixed/Permanent,Yes,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,>10 Years,Never
NTM00044,6.8,240,50,0,0,0,2,0.08,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Plastic,Do Not Know,Fixed/Permanent,No,Fine Misting of Water (Low Flow),Hot Water Heater,1-5 Years,Yearly
NTM00146,6.8,160,120,0,0.5,0,5,0.15,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Do Not know,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,6-10 Years,Never
NTM00178,6.8,200,120,0.25,3,0,1,0.15,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Combination of Plastic/Metal,No Finish,Fixed/Permanent,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,6-10 Years,Never
NTM00413,6.2,80,50,0,0.5,0,5,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Brass,Fixed/Permanent,Yes,Multiple Interchangeable Spray Patterns,Hot Water Heater,<1 Year,Never
NTM00105,6.2,60,120,0,0,0.7,1,0.15,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed Showerhead w/ Additional Handheld Unit,Yes,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,1-5 Years,Never
NTM00437,6.5,240,50,0,0,0,1,0.15,Municipal Water System,More than 6 Months Ago,10-13 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,No,Multiple Interchangeable Spray Patterns,Electric Tankless Water Heater,6-10 Years,Do Not Know
NTM00387,< 6.2,30,200,0,0.5,0,1,0.15,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Solid Brass,Brass,Fixed/Permanent,No,Multiple Interchangeable Spray Patterns,Gas Tankless Water Heater,6-10 Years,Do Not Know
NTM00217,6.2,120,120,0,0,2,0,0.15,Well-Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Plastic,Do Not Know,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,1-5 Years,Never
NTM00294,,,,,,,,,,,,,,,,,,,,,
NTM00177,7,50,120,0.7,0.75,0.3,0,0.15,Municipal Water System,Do Not Know,5-9 times/week,Never,NA,Combination of Plastic/Metal,Do Not Know,Fixed/Permanent,Yes,Multiple Interchangeable Spray Patterns,Hot Water Heater,6-10 Years,Never
NTM00388,6.2,150,50,0,3,0,0,0.075,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,1-5 Years,Never
NTM00420,6.2,120,250,0.5,0.5,0,2,0,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Metal,Chrome,Fixed/Permanent,No,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,Do Not Know,Never
NTM00499,6,120,250,0.25,0.5,0,1,0.15,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Combination of Plastic/Metal,No Finish,Fixed/Permanent,No,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,Do Not Know,Never
NTM00490,6.8,240,50,0,0.25,0,1,0.075,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,Yes,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,>10 Years,Do Not Know
NTM00422,7.2,240,250,0,0,0,1,0,Municipal Water System,More than 6 Months Ago,5-9 times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,Do Not Know,Drenching Forced Spray Ideal For Rinsing Shampoo,Hot Water Heater,Do Not Know,Never
NTM00307,6.8,180,120,0,0,0,2,0.15,Municipal Water System,More than 6 Months Ago,10-13 times/week,Never,NA,Metal,No Finish,Fixed/Permanent,Yes,Multiple Interchangeable Spray Patterns,Hot Water Heater,6-10 Years,Never
NTM00003,6.6,150,250,0,0.5,0,1,0.075,Municipal Water System,Within the Last 6 Months,5-9 times/week,Never,NA,Plastic,No Finish,Fixed/Permanent,Yes,Wide Coverage That Feels Like Drenching Rain,Hot Water Heater,Do Not Know,Do Not Know
NTM00174,6.8,180,250,5,0.25,0.075,0,0.15,Municipal Water System,More than 6 Months Ago,1-4 times/week,Never,NA,Metal,Do Not Know,Fixed/Permanent,No,Multiple Interchangeable Spray Patterns,Hot Water Heater,>10 Years,Never
NTM00193,7.2,150,200,0,0.5,0,1,0.15,Municipal Water System,More than 6 Months Ago,14+ times/week,Never,NA,Plastic,No Finish,Fixed/Permanent,Yes,Fine Misting of Water (Low Flow),Do Not Know,Do Not Know,Do Not Know
NTM00151,6.8,180,120,0,1,0,5,0.15,Municipal Water System,Within the Last 6 Months,5-9 times/week,Never,NA,Combination of Plastic/Metal,No Finish,Fixed/Permanent,Yes,Multiple Interchangeable Spray Patterns,Hot Water Heater,1-5 Years,Never
